,week_start,indicator,European Union,France,Germany,New Zealand,United Kingdom,United States
437,2021-08-30,New cases per ten million,84.8937,132.7348,89.6451,5.2456,382.4916,338.24580000000003
438,2021-08-30,Deaths per million,7.1000000000000005,7.567,5.182,0.193,13.644000000000002,34.612
441,2021-09-06,ICU patients per million,0.0,226.18099999999998,117.021,0.0,108.993,532.643
442,2021-09-06,New cases per ten million,76.7904,100.2992,85.9495,3.0471,364.6496,302.2763
443,2021-09-06,Deaths per million,7.426,6.762,5.386,0.0,16.338,35.724000000000004
446,2021-09-13,ICU patients per million,0.0,200.168,128.572,0.0,107.216,510.023
447,2021-09-13,New cases per ten million,72.2274,72.3169,73.7329,2.5266,301.129,306.6761
448,2021-09-13,Deaths per million,7.909000000000001,5.973,4.618,0.0,16.118,40.173
451,2021-09-20,ICU patients per million,0.0,170.292,123.64,0.0,94.373,468.204
452,2021-09-20,New cases per ten million,68.887,55.88099999999999,64.3194,2.1601,358.5614,251.942
453,2021-09-20,Deaths per million,7.946,5.122,4.246,0.0,15.078,39.565
456,2021-09-27,ICU patients per million,0.0,147.184,115.126,0.0,83.42399999999999,411.848
457,2021-09-27,New cases per ten million,76.5361,47.837900000000005,67.7475,3.6254999999999997,348.5243,223.3848
458,2021-09-27,Deaths per million,9.276,4.271,5.074,0.0,13.257,38.405
461,2021-10-04,ICU patients per million,0.0,124.932,113.735,0.0,81.115,368.323
462,2021-10-04,New cases per ten million,84.6403,40.7665,69.5995,5.3034,377.3248,201.5974
463,2021-10-04,Deaths per million,10.802,2.955,5.865,0.193,12.443,34.539
466,2021-10-11,ICU patients per million,0.0,111.68900000000001,117.107,0.0,81.559,352.429
467,2021-10-11,New cases per ten million,100.604,48.1148,78.3965,7.6369,451.9447,172.1119
468,2021-10-11,Deaths per million,12.617,2.708,6.969,0.0,14.028,30.926000000000002
471,2021-10-18,ICU patients per million,0.0,105.659,128.751,0.0,90.121,317.44100000000003
472,2021-10-18,New cases per ten million,136.9898,52.9828,117.2162,13.2491,487.9665,150.3276
473,2021-10-18,Deaths per million,16.052,2.77,12.606,0.0,15.405000000000001,32.786
